1 [1, '85', '78', 5, 5, 13]
2 [0, '83', '77', 4, 2, 13]
3 [-1, '79', '78', 2, 4, 2]
4 [1, '80', '77', 4, 2, 5]
5 [0, '79', '86', 4, 4, -6]
6 [1, '79', '75', 3, 5, 0]
7 [-1, '75', '74', 2, 5, 1]
8 [1, '75', '78', 2, 5, 2]
9 [2, '80', '75', 2, 6, 10]
10 [1, '75', '85', 7, 5, -24]
11 [3, '78', '75', 3, 2, 10]
12 [6, '86', '80', 4, 1, 19]
13 [0, '78', '79', 6, 2, -10]
14 [-1, '75', '80', 1, 4, -1]
15 [-2, '77', '79', 2, 5, 0]
16 [-1, '74', '83', 5, 4, -18]
17 [2, '75', '79', 5, 2, 1]
18 [1, '78', '75', 5, 2, 0]
19 [1, '79', '86', 2, 3, -12]
20 [4, '85', '79', 6, 5, 17]
21 [-3, '75', '75', 2, 7, -3]
22 [0, '85', '86', 5, 4, 4]
23 [-1, '75', '74', 0, 0, 1]
24 [-2, '83', '78', 3, 3, 4]
25 [-3, '75', '75', 2, 4, 0]
26 [1, '79', '80', 5, 4, 1]
27 [0, '80', '77', 1, 2, 5]
28 [2, '79', '78', 2, 7, 12]
29 [-3, '75', '77', 2, 2, -3]
30 [1, '79', '78', 1, 4, 2]
31 [1, '78', '75', 7, 2, 6]
32 [-2, '77', '85', 2, 6, -23]
33 [0, '80', '77', 5, 1, 0]
34 [-1, '75', '83', 3, 4, -2]
36 [3, '79', '80', 4, 2, 12]
37 [1, '86', '75', 6, 3, 3]
38 [2, '78', '79', 5, 2, 0]
39 [0, '78', '75', 2, 0, -3]
40 [1, '75', '79', 6, 0, 0]
41 [-2, '79', '75', 2, 5, 7]
42 [0, '83', '78', 4, 6, 14]
43 [-4, '75', '75', 0, 4, -6]
44 [2, '75', '78', 2, 0, 4]
45 [-2, '75', '78', 4, 3, -1]
46 [0, '80', '80', 2, 5, 1]
47 [-1, '77', '74', 2, 5, 1]
48 [0, '75', '77', 3, 2, 3]
49 [1, '75', '75', 4, 1, -1]
51 [3, '78', '83', 4, 5, -3]
61 [3, '83', '75', 6, 3, 11]
62 [-1, '77', '75', 1, 3, 0]
63 [-1, '79', '77', 0, 2, 3]
64 [-1, '75', '78', 0, 3, -3]
65 [1, '75', '80', 3, 3, 0]
66 [1, '85', '80', 0, 6, 13]
67 [0, '79', '79', 2, 3, 7]
68 [-1, '75', '78', 3, 0, -1]
69 [-2, '79', '79', 3, 3, -5]
70 [1, '80', '78', 7, 2, 4]
71 [5, '78', '75', 2, 3, 5]
72 [0, '86', '83', 7, 6, 4]
75 [2, '78', '77', 6, 2, -3]
76 [4, '80', '79', 3, 3, -4]
77 [2, '75', '74', 3, 2, 2]
78 [1, '77', '75', 1, 1, -5]
79 [-1, '74', '78', 2, 6, -3]
80 [1, '83', '77', 7, 0, 9]
81 [0, '77', '78', 3, 1, -1]
82 [1, '75', '79', 0, 3, -5]
84 [0, '78', '75', 2, 3, 2]
91 [0, '80', '75', 3, 0, -5]
95 [-1, '78', '74', 1, 2, -1]
99 [-2, '75', '78', 0, 4, 0]
101 [-2, '75', '79', 2, 2, -5]
102 [3, '83', '80', 7, 4, 10]
